Location,Date,Age,Length
BR,5/29/2002,2,112
BR,5/29/2002,2,110
BR,5/29/2002,2,100
BR,5/31/2002,2,112
BR,5/31/2002,2,106
BR,5/31/2002,2,103
BR,5/31/2002,2,109
BR,5/31/2002,2,97
BR,6/1/2002,2,109
BR,6/1/2002,2,109
BR,6/1/2002,2,96
BR,6/2/2002,2,107
BR,6/2/2002,2,107
BR,6/3/2002,2,109
BR,6/3/2002,2,115
BR,6/3/2002,2,113
BR,6/3/2002,2,104
BR,6/4/2002,2,109
BR,6/4/2002,2,108
BR,6/6/2002,2,109
BR,6/6/2002,2,114
BR,6/10/2002,2,102
BR,6/10/2002,2,93
BR,5/21/2002,2,121
BR,5/22/2002,2,111
BR,5/22/2002,2,121
BR,5/22/2002,2,107
BR,5/22/2002,2,118
BR,5/22/2002,2,116
BR,5/22/2002,2,138
BR,5/23/2002,2,105
BR,5/23/2002,2,135
BR,5/23/2002,2,135
BR,5/23/2002,2,107
BR,5/23/2002,2,130
BR,5/23/2002,2,111
BR,5/23/2002,2,121
BR,5/23/2002,2,111
BR,5/23/2002,2,113
BR,5/23/2002,2,119
BR,5/23/2002,2,128
BR,5/23/2002,2,120
BR,5/23/2002,2,119
BR,5/23/2002,2,107
BR,5/24/2002,2,104
BR,5/24/2002,2,130
BR,5/24/2002,2,106
BR,5/24/2002,2,118
BR,5/24/2002,2,108
BR,5/24/2002,2,110
BR,5/24/2002,2,127
BR,5/24/2002,2,116
BR,5/24/2002,2,105
BR,5/24/2002,2,127
BR,5/24/2002,2,117
BR,5/24/2002,2,111
BR,5/24/2002,2,119
BR,5/24/2002,2,104
BR,5/24/2002,2,129
BR,5/24/2002,2,117
BR,5/24/2002,2,112
BR,5/24/2002,2,106
BR,5/24/2002,2,128
BR,5/24/2002,2,116
BR,5/24/2002,2,111
BR,5/24/2002,2,108
BR,5/24/2002,2,111
BR,5/24/2002,2,115
BR,5/25/2002,2,98
BR,5/25/2002,2,116
BR,5/25/2002,2,99
BR,5/25/2002,2,112
BR,5/25/2002,2,116
BR,5/25/2002,2,115
BR,5/25/2002,2,118
BR,5/25/2002,2,123
BR,5/25/2002,2,115
BR,5/25/2002,2,120
BR,5/25/2002,2,116
BR,5/25/2002,2,101
BR,5/25/2002,2,107
BR,5/25/2002,2,136
BR,5/25/2002,2,104
BR,5/25/2002,2,104
BR,5/25/2002,2,145
BR,5/26/2002,2,129
BR,5/26/2002,2,112
BR,5/26/2002,2,100
BR,5/26/2002,2,105
BR,5/26/2002,2,97
BR,5/26/2002,2,108
BR,5/26/2002,2,111
BR,5/26/2002,2,120
BR,5/26/2002,2,110
BR,5/26/2002,2,125
BR,5/26/2002,2,115
BR,5/26/2002,2,107
BR,5/26/2002,2,118
BR,5/26/2002,2,113
BR,5/26/2002,2,107
BR,5/26/2002,2,111
BR,5/26/2002,2,113
